title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
          Southern Balkans engineering route study       ,                   cartographic                ,map government publication,"Alexandria, VA",US Army Corps of Engineers,[1999] 1999,          eng       ,map,map,"1 map : col. ; 31 x 34 cm., on sheet 49 x 51 cm."
"          Columbia fun maps, mapping the gay and lesbian world          Philadelphia, New Hope & Atlantic City, NJ                  Columbia funmaps, mapping the gay and lesbian world          Philadelphia, New Hope & Atlantic City, NJ                  Philadelphia, New Hope & Atlantic City, NJ                  Philadelphia, New Hope, and Atlantic City, NJ       ",                   cartographic                ,map,New York,Columbia FunMap Corp.,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet : both sides, col. ; 16 x 25 cm. or smaller, sheet 49 x 61 cm., folded to 25 x 11 cm."
"          Cape May County, New Jersey          ""where nature smiles for 40 miles""                  Welcome to Historic Cape May County       ",                   cartographic                ,map,"Oklahoma City?] Cape May Court House, NJ",Mosher-Adams Inc. Cape May County Chamber of Commerce [distributor],c1998 1998,          eng       ,map,map,"1 map : col. ; 53 x 37 cm., on sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Columbia fun maps, mapping the gay and lesbian world          London '99          London                  Columbia funmaps, mapping the gay and lesbian world          London                  London                  London overview       ",                   cartographic                ,map,New York,Columbia FunMap Corp.,c1999 1999,          eng       ,map,map,"1 map : col. ; 22 x 29 cm., on sheet 49 x 51 cm., folded to 25 x 11 cm."
"          Tectonic map of Britain, Ireland, and adjacent areas       ",                   cartographic                ,map government publication,"Keyworth, Nottingham, England]",British Geological Survey,1996,          eng       ,map,map,"1 map : col. ; 100 x 69 cm., folded to 28 x 17 cm."
          Metallogenic map of Britain and Ireland       ,                   cartographic                ,map government publication,"Keyworth, Nottingham, England]",British Geological Survey,1996,          eng       ,map,map,"1 map : col. ; 100 x 69 cm., folded to 28 x 17 cm."
"          Colour shaded relief magnetic anomaly map of Britain, Ireland, and adjacent areas       ",                   cartographic                ,map government publication,"Keyworth, Nottingham, U.K",British Geological Survey,1998,          eng       ,map,map,"1 map : col. ; 100 x 69 cm., folded to 27 x 17 cm."
"          Welcome to New York, Fulton, and Oswego County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"2 maps on 1 sheet ; 39 x 35 cm. and 35 x 41 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to New York, Jamestown, and Chautauqua County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1996 1996,          eng       ,map,map,"2 maps on 1 sheet ; 29 x 38 cm. and 33 x 31 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to New York, Jamestown, and Chautauqua County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"2 maps on 1 sheet ; 29 x 38 cm. and 42 x 40 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
          Lehigh University map                  Lehigh University       ,                   cartographic                ,map,"Bethlehem, PA",Lehigh Office of Admissions,[1998?] 1998,          eng       ,map,view,"1 view : col. ; 29 x 43 cm., on sheet 50 x 53 cm., folded to 22 x 9 cm."
"          Britain, British Airways, a map for tourists                  Britain, a map for tourists                  Britain       ",                   cartographic                ,map government publication,London,The Authority British Airways [distributor],"1976, c1975 1976",          eng                  dut                  fre                  ger       ,map,map,"1 map : col. ; 81 x 57 cm., folded to 21 x 10 cm."
"          Welcome to New York, Binghamton, Johnson City, and vicinity, with Broome County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 38 x 69 cm. and 40 x 49 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to New York, Canton, Ogdensburg, and Gouverneur                  Welcome to New York       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"3 maps on 1 sheet ; 27 x 34 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to New York, Cortland, Homer, and Cortland County, with Ithaca and Tompkins County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 45 x 37 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to New York, Dunkirk, Fredonia, Westfield, Irving, Chautauqua County, and Silver Creek                  Welcome to New York       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 45 x 42 cm. or smaller, sheet 97 x 64 cm., folded to 25 x 11 cm."
"          Welcome to New York, Dunkirk, Fredonia, Westfield, Irving, Chautauqua County, and Silver Creek       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 47 x 43 cm. or smaller, sheet 97 x 64 cm., folded to 25 x 11 cm."
          Prague city map          English                  Prague 1:15 000       ,                   cartographic                ,map government publication,Prague],Praz?ska? informac?ni? sluz?ba,c1997 1997,          eng                  cze       ,map,map,"1 map : col. ; 26 x 29 cm., folded to 21 x 10 cm."
          Inland waterways of Britain          complete waterway coverage ... large scale BCN inset       ,                   cartographic                ,map,"Reading, Berkshire",GEOprojects (UK) Ltd.,c1997 1997,          eng       ,map,map,"1 map : both sides, col. ; 143 x 95 cm., folded to 22 x 14 cm."
"          Prague city map          the best scale 1:10 000, includes 3-D symbols of important buildings with captions                  Praha, pla?n me?sta                  Praha centrum 1:10 000       ",                   cartographic                ,map,Praha,Roka nakl. s.r.o. Roka distribuce s.r.o. [distributor],c1997 1997,          eng                  cze                  fre                  ger       ,map,map,"1 map : col. ; 60 x 44 cm., folded to 23 x 10 cm."
"          Visitors' guide and maps of Philadelphia          includes 3 detailed and enlarged maps of central area, Phila. & suburbs, historic walking tour                  Central Philadelphia map       ",                   cartographic                ,map,"Cherry Hill, N.J",Art Color Card Dist.,c1974 1974,          eng       ,map,map,"3 maps on 1 sheet : both sides, 2 col. ; 34 x 51 cm. or smaller, sheet 46 x 61 cm., folded to 23 x 11 cm."
"          Welcome to Pennsylvania, Somerset, and Somerset County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet ; 28 x 24 cm. and 42 x 43 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Pennsylvania, Allentown, and Lehigh County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1997 1997,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 57 cm. and 47 x 56 cm., sheet 64 x 97 cm., folded to 11 x 24 cm."
"          Welcome to Pennsylvania, Allentown, and Lehigh County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 58 cm. and 42 x 47 cm., sheet 64 x 97 cm., folded to 11 x 24 cm."
"          Welcome to Pennsylvania, Allentown, and Lehigh County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 57 cm. and 42 x 47 cm., sheet 64 x 97 cm., folded to 11 x 24 cm."
"          Welcome to Pennsylvania, Carlisle, and Cumberland County                  Welcome to Pennsylvania       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 41 x 54 cm. and 35 x 55 cm., sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Pennsylvania, Berwick, Bloomsburg, with Columbia County and Montour County                  Welcome to Pennsylvania       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,"[1999], c1998 1999",          eng       ,map,map,"4 maps on 1 sheet : both sides ; 57 x 42 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Pennsylvania, Altoona, Hollidaysburg, and Blair County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1999 1999,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 45 cm. or smaller, sheet 97 x 64 cm., folded to 11 x 25 cm."
"          Welcome to Pennsylvania, Reading, Sinking Spring, and Flying Hills, with Berks County       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 48 x 49 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Welcome to Pennsylvania, Reading, Sinking Spring, and Flying Hills, with Berks County                  Welcome to Pennsylvania       ",                   cartographic                ,map,Cincinnati,Universal Advertising Associates Inc.,c1998 1998,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 53 x 54 cm. or smaller, sheet 64 x 97 cm., folded to 11 x 25 cm."
